"filename", "language", "YAML", "JSON", "Markdown", "TypeScript", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/create-ordem-servico.dto.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 1, 7, 36
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/create-proposta.dto.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 1, 7, 31
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/expense/create-order-service-responsible-expense.dto.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/expense/update-order-service-responsible-expense.dto.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 4, 21
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/gerar-proposta.dto.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 3, 15
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/itens-os/create-item-os.dto.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 10, 43
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/itens-os/item-os-response.dto.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 1, 17, 61
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/itens-os/update-item-os.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/responsible/create-order-service-responsible.dto.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/responsible/list-order-service-responsible-expense.dto.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 3, 20
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/responsible/list-order-service-responsible.dto.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 3, 20
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/responsible/update-order-service-responsible.dto.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 4, 22
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/update-ordem-servico.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 1, 5
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/update-proposta.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 1, 5
